trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
49,False,"{'a': 0.65, 'e': 0.37531109885139863}",20,6,-57.78688182510891,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
50,False,"{'a': 0.65, 'e': 0.3678794411714414}",20,0,-17.79584973559141,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
51,False,"{'a': 0.65, 'e': 0.36059494017307736}",25,6,15.346638875585025,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.65, 'e': 0.3534546819587792}",35,12,-81.34364742335062,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 1}",1
53,False,"{'a': 0.65, 'e': 0.3464558103300565}",25,19,12.939388964204742,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.65, 'e': 0.3395955256449382}",25,8,9.44526993994455,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.65, 'e': 0.3328710836980786}",20,10,-5.2927125390648335,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.65, 'e': 0.3262797946230385}",20,0,-74.74082816702474,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
57,False,"{'a': 0.65, 'e': 0.31981902181630295}",30,0,-25.007770996218092,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.65, 'e': 0.3134861808826044}",25,0,-89.62010461807432,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
59,False,"{'a': 0.65, 'e': 0.3072787386011303}",20,0,3.563926576483868,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
60,False,"{'a': 0.65, 'e': 0.3011942119122012}",20,0,2.8792768759765077,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
61,False,"{'a': 0.65, 'e': 0.2952301669240133}",20,7,-21.4468299209054,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
62,False,"{'a': 0.65, 'e': 0.2893842179390498}",30,11,-13.825687000728037,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.65, 'e': 0.2836540264997695}",25,20,7.775399768995668,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.65, 'e': 0.27803730045319325}",25,14,-23.53948482640885,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
65,False,"{'a': 0.65, 'e': 0.2725317930340117}",25,17,-12.24610408593606,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.65, 'e': 0.2671353019658495}",20,0,27.418686066426524,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.65, 'e': 0.26184566858032515}",25,3,20.85946697409354,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.65, 'e': 0.25666077695355505}",20,13,-12.114551186304672,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.65, 'e': 0.2515785530597557}",25,14,-28.54213888837403,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.65, 'e': 0.24659696394160566}",30,20,23.88422821669941,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.65, 'e': 0.24171401689703562}",25,0,-3.2129732845268713,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
72,False,"{'a': 0.65, 'e': 0.23692775868212093}",20,0,-29.127390886066024,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
73,False,"{'a': 0.65, 'e': 0.232236274729758}",30,14,-41.90574926000962,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
74,False,"{'a': 0.65, 'e': 0.22763768838381193}",20,12,0.4879876910812413,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.65, 'e': 0.223130160148429}",25,12,16.864784384520807,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.65, 'e': 0.21871188695221394}",20,15,8.28290407710549,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.65, 'e': 0.21438110142697714}",20,10,-27.63348110187913,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
78,False,"{'a': 0.65, 'e': 0.2101360712007639}",20,1,-15.729396210437468,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 0}",1
79,False,"{'a': 0.65, 'e': 0.20597509820488263}",35,18,6.929743024099372,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.65, 'e': 0.20189651799465458}",25,16,-12.654857781157729,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
81,False,"{'a': 0.65, 'e': 0.19789869908361385}",30,0,-3.3917378247189514,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
