trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.65, 'e': 0.10860910882495736}",20,0,-23.792665081580534,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
112,False,"{'a': 0.65, 'e': 0.10645850437925221}",25,12,-49.13161121192345,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
113,False,"{'a': 0.65, 'e': 0.10435048475476441}",20,13,2.1540377707812928,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.65, 'e': 0.10228420671553687}",30,11,29.8353366718523,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.65, 'e': 0.10025884372280315}",30,13,21.054711263368507,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.65, 'e': 0.09827358560436096}",20,0,-32.936576778713054,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
117,False,"{'a': 0.65, 'e': 0.09632763823049245}",35,17,23.522895437824616,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.65, 'e': 0.09442022319630178}",20,6,19.474573020009935,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.65, 'e': 0.09255057751034272}",25,5,-53.71043361897497,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
120,False,"{'a': 0.65, 'e': 0.09071795328941196}",25,0,36.06314733158585,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.65, 'e': 0.08892161745938579}",25,0,23.80404327115414,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.65, 'e': 0.08716085146198076}",25,1,-53.56935187172392,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 1}",1
123,False,"{'a': 0.65, 'e': 0.08543495096732069}",20,14,11.117209051102904,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.65, 'e': 0.08374322559219542}",20,0,-0.053566494594643466,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
125,False,"{'a': 0.65, 'e': 0.08208499862389827}",30,21,10.937879955653658,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.65, 'e': 0.08045960674953191}",20,0,-10.340294955870615,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
127,False,"{'a': 0.65, 'e': 0.07886639979067443}",30,12,27.88999029706369,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.65, 'e': 0.07730474044329924}",20,15,-10.478972876320613,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
129,False,"{'a': 0.65, 'e': 0.07577400402284498}",25,0,30.7630412179743,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.65, 'e': 0.07427357821433339}",20,0,24.75012150760096,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.65, 'e': 0.07280286282743512}",30,1,36.97901161446383,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.65, 'e': 0.0713612695563856}",25,0,-11.184293734562393,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
133,False,"{'a': 0.65, 'e': 0.0699482217446549}",20,0,27.678839090096837,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.65, 'e': 0.06856315415427747}",20,15,8.56110087733732,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.65, 'e': 0.06720551273974931}",20,11,16.159795213937194,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.65, 'e': 0.06587475442640252}",20,5,25.23125131081396,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.65, 'e': 0.06457034689316805}",30,0,28.880619599631537,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
138,False,"{'a': 0.65, 'e': 0.06329176835964029}",25,0,35.02497855425117,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.65, 'e': 0.06203850737735788}",20,0,21.566240226460014,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.65, 'e': 0.06081006262521754}",25,5,26.34870471530648,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.65, 'e': 0.05960594270893894}",20,0,22.1424067808002,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.65, 'e': 0.058425665964500405}",20,3,11.541017473610289,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
